#E,eV        Sig,b        Interpolation
 24304.1     4.12977      Lin-Lin
 24304.8     4.21481      Lin-Lin
 24304.8     4.21482      Lin-Lin
 24305.3     4.2595       Lin-Lin
 24305.9     4.27867      Lin-Lin
 24306       4.28323      Lin-Lin
 24306.1     4.28335      Lin-Lin
 24306.2     4.2836       Lin-Lin
 24306.5     4.27499      Lin-Lin
 24306.7     4.27203      Lin-Lin
 24307.1     4.24513      Lin-Lin
 24307.2     4.2374       Lin-Lin
 24307.7     4.188        Lin-Lin
 24307.9     4.16489      Lin-Lin
 24308.2     4.12302      Lin-Lin
 24308.5     4.07177      Lin-Lin
 24308.8     4.02498      Lin-Lin
 24309.2     3.95177      Lin-Lin
 24309.5     3.87863      Lin-Lin
 24310       3.76922      Lin-Lin
 24310.2     3.71516      Lin-Lin
 24310.9     3.53315      Lin-Lin
 24311       3.48347      Lin-Lin
 24311.8     3.2711       Lin-Lin
 24312.2     3.15144      Lin-Lin
 24314.2     2.50419      Lin-Lin
 24314.3     2.46874      Lin-Lin
 24315       2.26127      Lin-Lin
 24315.4     2.16393      Lin-Lin
 24315.8     2.05274      Lin-Lin
 24316       1.97336      Lin-Lin
 24316.2     1.92123      Lin-Lin
 24316.7     1.8096       Lin-Lin
 24316.7     1.79572      Lin-Lin
 24317.2     1.67771      Lin-Lin
 24317.2     1.67077      Lin-Lin
 24317.7     1.56781      Lin-Lin
 24317.8     1.54207      Lin-Lin
 24318.2     1.46515      Lin-Lin
 24318.4     1.42375      Lin-Lin
 24318.7     1.36982      Lin-Lin
 24318.9     1.31587      Lin-Lin
 24319.1     1.29116      Lin-Lin
 24319.4     1.24172      Lin-Lin
 24319.5     1.21891      Lin-Lin
 24319.8     1.17327      Lin-Lin
 24319.9     1.15226      Lin-Lin
 24320.2     1.11028      Lin-Lin
 24320.4     1.09105      Lin-Lin
 24320.7     1.05259      Lin-Lin
 24320.7     1.0482       Lin-Lin
 24321       1.00878      Lin-Lin
 24321.1     0.998281     Lin-Lin
 24321.3     0.972164     Lin-Lin
 24321.6     0.94607      Lin-Lin
 24321.6     0.937558     Lin-Lin
 24322       0.905649     Lin-Lin
 24322       0.899263     Lin-Lin
 24322.3     0.876482     Lin-Lin
 24322.5     0.857493     Lin-Lin
 24322.6     0.849051     Lin-Lin
 24322.9     0.82374      Lin-Lin
 24323       0.820354     Lin-Lin
 24323.2     0.800919     Lin-Lin
 24323.4     0.787473     Lin-Lin
 24323.6     0.779553     Lin-Lin
 24323.9     0.759763     Lin-Lin
 24323.9     0.758437     Lin-Lin
 24324.2     0.742194     Lin-Lin
 24324.4     0.732906     Lin-Lin
 24324.5     0.725932     Lin-Lin
 24324.8     0.710992     Lin-Lin
 24325       0.703686     Lin-Lin
 24325.3     0.693143     Lin-Lin
 24325.6     0.680382     Lin-Lin
 24325.6     0.679267     Lin-Lin
 24325.9     0.669104     Lin-Lin
 24326.2     0.65894      Lin-Lin
 24326.4     0.655106     Lin-Lin
 24326.8     0.642834     Lin-Lin
 24326.9     0.642064     Lin-Lin
 24327.3     0.632533     Lin-Lin
 24327.5     0.628083     Lin-Lin
 24327.8     0.623554     Lin-Lin
 24328.2     0.615508     Lin-Lin
 24328.4     0.611488     Lin-Lin
 24328.7     0.608447     Lin-Lin
 24329.1     0.602372     Lin-Lin
 24329.4     0.598955     Lin-Lin
 24329.8     0.594623     Lin-Lin
 24330.3     0.589431     Lin-Lin
 24330.5     0.588127     Lin-Lin
 24331.2     0.582919     Lin-Lin
 24331.4     0.580969     Lin-Lin
 24331.8     0.578624     Lin-Lin
 24332.8     0.573629     Lin-Lin
 24332.9     0.573005     Lin-Lin
 24333.7     0.57001      Lin-Lin
 24334.8     0.56574      Lin-Lin
 24335       0.565183     Lin-Lin
 24336.4     0.561846     Lin-Lin
 24337.7     0.558652     Lin-Lin
 24338.2     0.557886     Lin-Lin
 24340.9     0.55381      Lin-Lin
 24342.5     0.551436     Lin-Lin
 24343.7     0.55047      Lin-Lin
 24347.3     0.547387     Lin-Lin
 24350.3     0.544886     Lin-Lin
